RANK,NAME,Team,POS,VALUE
243,Cesar Hernandez,PHI,2B,2
244,Josh Harrison,PIT,2B/3B/ OF,2
245,Zach Britton,BAL,RP,2
246,Starlin Castro,MIA,2B,2
247,Steven Souza Jr.,ARI,OF,2
248,Ketel Marte,ARI,SS,2
249,Odubel Herrera,PHI,OF,2
250,Ryan Madson,WSH,RP,2
251,Matt Chapman,OAK,3B,2
252,Luke Gregerson,STL,RP,2
253,Dominic Leone,STL,RP,1
254,Marcus Semien,OAK,SS,1
255,Adam Duvall,CIN,OF,1
256,Mark Trumbo,BAL,OF,1
257,Nick Williams,PHI,OF,1
258,Joc Pederson,LAD,OF,1
259,Blake Parker,LAA,RP,1
260,Todd Frazier,NYM,3B,1
261,Garrett Richards,LAA,SP,1
262,Alex Claudio,TEX,RP,1
263,Brad Ziegler,MIA,RP,1
264,Blake Treinen,OAK,RP,1
265,Cole Hamels,TEX,SP,1
266,Shane Greene,DET,RP,1
267,Brad Miller,TB,2B,1
268,Kolten Wong,STL,2B,1
269,Julio Teheran,ATL,SP,1
270,Jeff Samardzija,SF,SP,1
271,Jed Lowrie,OAK,2B,1
272,Aaron Sanchez,TOR,SP,1
273,Fernando Rodney,MIN,RP,1
274,Juan Minaya,CHW,RP,0
275,Logan Morrison,MIN,1B,0
276,J.A. Happ,TOR,SP,0
277,Mark Reynolds,COL,1B,0
278,Darren O’Day,BAL,RP,0
279,Jake Odorizzi,MIN,SP,0
280,Austin Hays,BAL,OF,0
281,Tyler Lyons,STL,RP,0
282,Jesse Winker,CIN,OF,0
283,Tanner Roark,WSH,SP,0
284,Jorge Alfaro,PHI,C,0
285,Kyle Barraclough,MIA,RP,0
286,Austin Hedges,SD,C,0
287,Rick Porcello,BOS,SP,0
288,Miles Mikolas,STL,SP,0
289,James McCann,DET,C,0
290,Addison Reed,MIN,RP,0
291,Travis D’Arnaud,NYM,C,-6
292,Neil Walker,NYY,1B/2B,0
293,Jonathan Lucroy,OAK,C,0
294,Joakim Soria,CHW,RP,0
295,A.J. Ramos,NYM,RP,0
296,Max Kepler,MIN,OF,0
297,Kevin Kiermaier,TB,OF,0
298,Yasmani Grandal,LAD,C,0
299,Evan Gattis,HOU,C,0
300,Randal Grichuk,TOR,OF,0
301,Brian McCann,HOU,C,-1
302,Victor Robles,WSH,OF,-1
303,Hunter Renfroe,SD,OF,-1
304,Dan Straily,MIA,SP,-1
305,Jimmy Nelson,MIL,SP,-1
306,Brandon Crawford,SF,SS,-1
307,Mike Minor,TEX,SP,-1
308,Eduardo Rodriguez,BOS,SP,-1
309,Luiz Gohara,ATL,SP,-1
310,Cameron Maybin,MIA,OF,-1
311,Russell Martin,TOR,C/3B,-1
312,Carlos Gonzalez,COL,OF,-1
313,Jose Reyes,NYM,2B/SS/ 3B,-1
314,Chad Green,NYY,RP,-1
315,Asdrubal Cabrera,NYM,2B/SS/ 3B,-1
316,Steve Cishek,CHC,RP,-6
317,J.P. Crawford,PHI,SS/3B,-1
318,Alex Wilson,DET,RP,-1
319,Aaron Altherr,PHI,OF,-1
320,Willie Calhoun,TEX,OF,-1
321,Mike Montgomery,CHC,SP,-1
322,Kyle Gibson,MIN,SP,-1
323,Scott Schebler,CIN,OF,-2
324,Stephen Piscotty,OAK,OF,-2
325,Chris Devenski,HOU,RP,-2
326,Erasmo Ramirez,SEA,SP,-2
327,Pat Neshek,PHI,RP,-2
