"RANK, PLAYER",TEAM,AGE,ELIG.,POS,$10T,$12T,NAME,RANK,VALUE,POS
86. Eric Hosmer,KC,27,1B,1B14,$13 ,$15 , Eric Hosmer,86,15.00,1B14
87. Gerrit Cole,PIT,26,SP,SP20,$12 ,$14 , Gerrit Cole,87,14.00,SP20
88. Dustin Pedroia,BOS,33,2B,2B12,$12 ,$14 , Dustin Pedroia,88,14.00,2B12
89. Rick Porcello,BOS,28,SP,SP21,$12 ,$14 , Rick Porcello,89,14.00,SP21
90. Wade Davis,CHC,31,RP,RP7,$12 ,$14 , Wade Davis,90,14.00,RP7
91. Evan Longoria,TB,31,3B,3B11,$12 ,$14 , Evan Longoria,91,14.00,3B11
92. Khris Davis,OAK,29,OF,OF26,$12 ,$14 , Khris Davis,92,14.00,OF26
93. Matt Kemp,ATL,32,OF,OF27,$12 ,$14 , Matt Kemp,93,14.00,OF27
94. Edwin Diaz,SEA,23,RP,RP8,$11 ,$13 , Edwin Diaz,94,13.00,RP8
95. Danny Duffy,KC,28,SP/RP,SP22,$11 ,$13 , Danny Duffy,95,13.00,SP22
96. Jackie Bradley Jr.,BOS,26,OF,OF28,$11 ,$13 , Jackie Bradley Jr.,96,13.00,OF28
97. Gary Sanchez,NYY,24,C,C2,$11 ,$13 , Gary Sanchez,97,13.00,C2
98. Anthony Rendon,WAS,26,3B,3B12,$11 ,$13 , Anthony Rendon,98,13.00,3B12
99. Kevin Gausman,BAL,26,SP,SP23,$11 ,$13 , Kevin Gausman,99,13.00,SP23
100. Julio Teheran,ATL,26,SP,SP24,$11 ,$13 , Julio Teheran,100,13.00,SP24
101. Jose Ramirez,CLE,24,3B/OF,3B13,$10 ,$12 , Jose Ramirez,101,12.00,3B13
102. Kelvin Herrera,KC,27,RP,RP10,$10 ,$12 , Kelvin Herrera,102,12.00,RP10
103. Marcus Stroman,TOR,25,SP,SP25,$10 ,$12 , Marcus Stroman,103,12.00,SP25
104. Adam Eaton,WAS,28,OF,OF30,$10 ,$12 , Adam Eaton,104,12.00,OF30
105. Kenta Maeda,LAD,28,SP,SP26,$10 ,$12 , Kenta Maeda,105,12.00,SP26
106. Jason Kipnis,CLE,29,2B,2B13,$10 ,$12 , Jason Kipnis,106,12.00,2B13
107. Danny Salazar,CLE,27,SP,SP27,$10 ,$12 , Danny Salazar,107,12.00,SP27
108. Ken Giles,HOU,26,RP,RP11,$10 ,$12 , Ken Giles,108,12.00,RP11
109. Marcell Ozuna,MIA,26,OF,OF31,$10 ,$12 , Marcell Ozuna,109,12.00,OF31
110. Cole Hamels,TEX,33,SP,SP28,$9 ,$11 , Cole Hamels,110,11.00,SP28
111. Lorenzo Cain,KC,30,OF,OF32,$9 ,$11 , Lorenzo Cain,111,11.00,OF32
112. Aaron Sanchez,TOR,24,SP,SP29,$9 ,$11 , Aaron Sanchez,112,11.00,SP29
113. Miguel Sano,MIN,23,3B/OF,3B14,$9 ,$11 , Miguel Sano,113,11.00,3B14
114. Craig Kimbrel,BOS,28,RP,RP12,$9 ,$11 , Craig Kimbrel,114,11.00,RP12
115. Andrew Benintendi,BOS,22,OF,OF34,$9 ,$11 , Andrew Benintendi,115,11.00,OF34
116. Andrew Miller,CLE,31,RP,RP13,$8 ,$10 , Andrew Miller,116,10.00,RP13
117. Brandon Belt,SF,28,1B,1B15,$8 ,$10 , Brandon Belt,117,10.00,1B15
118. Justin Turner,LAD,32,3B,3B15,$8 ,$10 , Justin Turner,118,10.00,3B15
119. Albert Pujols,LAA,37,1B,1B16,$8 ,$10 , Albert Pujols,119,10.00,1B16
120. Rich Hill,LAD,37,SP,SP30,$7 ,$9 , Rich Hill,120,9.00,SP30
121. Jonathan Lucroy,TEX,30,C,C3,$8 ,$10 , Jonathan Lucroy,121,10.00,C3
122. Addison Russell,CHC,23,SS,SS9,$7 ,$9 , Addison Russell,122,9.00,SS9
123. Zack Greinke,ARI,33,SP,SP31,$9 ,$11 , Zack Greinke,123,11.00,SP31
124. Michael Brantley,CLE,29,OF,OF35,$7 ,$9 , Michael Brantley,124,9.00,OF35
125. Jeurys Familia,NYM,27,RP,RP14,$7 ,$9 , Jeurys Familia,125,9.00,RP14
126. John Lackey,CHC,38,SP,SP32,$7 ,$9 , John Lackey,126,9.00,SP32
127. Michael Fulmer,DET,24,SP,SP33,$7 ,$9 , Michael Fulmer,127,9.00,SP33
128. Odubel Herrera,PHI,25,OF,OF36,$7 ,$9 , Odubel Herrera,128,9.00,OF36
129. Cody Allen,CLE,28,RP,RP15,$7 ,$9 , Cody Allen,129,9.00,RP15
130. Adam Duvall,CIN,28,OF,OF37,$7 ,$9 , Adam Duvall,130,9.00,OF37
131. Drew Smyly,SEA,27,SP,SP34,$6 ,$8 , Drew Smyly,131,8.00,SP34
132. Elvis Andrus,TEX,28,SS,SS10,$6 ,$8 , Elvis Andrus,132,8.00,SS10
133. Alex Colome,TB,28,RP,RP16,$6 ,$8 , Alex Colome,133,8.00,RP16
134. Brad Miller,TB,27,SS/1B,SS11,$6 ,$8 , Brad Miller,134,8.00,SS11
135. Kendrys Morales,TOR,33,DH,DH1,$6 ,$8 , Kendrys Morales,135,8.00,DH1
136. Matt Shoemaker,LAA,30,SP,SP35,$6 ,$8 , Matt Shoemaker,136,8.00,SP35
137. Maikel Franco,PHI,24,3B,3B16,$6 ,$8 , Maikel Franco,137,8.00,3B16
138. Kole Calhoun,LAA,29,OF,OF38,$6 ,$8 , Kole Calhoun,138,8.00,OF38
139. Adrian Gonzalez,LAD,34,1B,1B18,$6 ,$8 , Adrian Gonzalez,139,8.00,1B18
140. Lance McCullers,HOU,23,SP,SP36,$5 ,$7 , Lance McCullers,140,7.00,SP36
141. Troy Tulowitzki,TOR,32,SS,SS12,$5 ,$8 , Troy Tulowitzki,141,8.00,SS12
142. Willson Contreras,CHC,24,C/OF,C4,$5 ,$7 , Willson Contreras,142,7.00,C4
143. Carlos Gomez,TEX,31,OF,OF40,$5 ,$7 , Carlos Gomez,143,7.00,OF40
144. David Robertson,CWS,31,RP,RP17,$5 ,$7 , David Robertson,144,7.00,RP17
145. Jake Odorizzi,TB,27,SP,SP37,$6 ,$8 , Jake Odorizzi,145,8.00,SP37
146. Jay Bruce,NYM,29,OF,OF41,$5 ,$7 , Jay Bruce,146,7.00,OF41
147. J.T. Realmuto,MIA,26,C,C5,$5 ,$7 , J.T. Realmuto,147,7.00,C5
148. Victor Martinez,DET,38,DH,DH2,$5 ,$7 , Victor Martinez,148,7.00,DH2
149. Aledmys Diaz,STL,26,SS,SS13,$5 ,$7 , Aledmys Diaz,149,7.00,SS13
150. Ian Desmond,COL,31,OF,OF42,$5 ,$7 , Ian Desmond,150,7.00,OF42
151. Jake Lamb,ARI,26,3B,3B17,$5 ,$7 , Jake Lamb,151,7.00,3B17
152. Tanner Roark,WAS,30,SP,SP38,$5 ,$7 , Tanner Roark,152,7.00,SP38
153. Randal Grichuk,STL,25,OF,OF43,$4 ,$6 , Randal Grichuk,153,6.00,OF43
154. Dexter Fowler,STL,31,OF,OF44,$4 ,$6 , Dexter Fowler,154,6.00,OF44
155. Jeff Samardzija,SF,32,SP,SP39,$4 ,$6 , Jeff Samardzija,155,6.00,SP39
156. Dellin Betances,NYY,29,RP,RP18,$4 ,$6 , Dellin Betances,156,6.00,RP18
157. Yasmani Grandal,LAD,28,C,C6,$4 ,$6 , Yasmani Grandal,157,6.00,C6
158. Steven Matz,NYM,25,SP,SP40,$4 ,$6 , Steven Matz,158,6.00,SP40
159. Joc Pederson,LAD,24,OF,OF45,$4 ,$6 , Joc Pederson,159,6.00,OF45
160. Evan Gattis,HOU,30,C,C7,$4 ,$6 , Evan Gattis,160,6.00,C7
161. Marco Estrada,TOR,33,SP,SP41,$4 ,$6 , Marco Estrada,161,6.00,SP41
162. Ben Zobrist,CHC,35,2B/OF,2B14,$4 ,$6 , Ben Zobrist,162,6.00,2B14
163. Dallas Keuchel,HOU,29,SP,SP42,$3 ,$5 , Dallas Keuchel,163,5.00,SP42
164. Nick Castellanos,DET,25,3B,3B18,$4 ,$6 , Nick Castellanos,164,6.00,3B18
165. Eduardo Nunez,SF,29,3B/SS,3B19,$3 ,$6 , Eduardo Nunez,165,6.00,3B19
166. Byron Buxton,MIN,23,OF,OF47,$3 ,$5 , Byron Buxton,166,5.00,OF47
167. Raisel Iglesias,CIN,27,RP/SP,RP19,$3 ,$5 , Raisel Iglesias,167,5.00,RP19
168. Curtis Granderson,NYM,36,OF,OF48,$3 ,$5 , Curtis Granderson,168,5.00,OF48
